id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum
69793,70016,125455,,544 A,HD 125455,Bannoc,,214.89526362406954,-5.151191700953611,3.7506298971812155,-0.08990525558304763,20.449270472275902,-16.704734730465194,-11.651331546323354,-1.836021141146044,-34231.74689041017,50932.14390926097,-11653.099102299797,-632.951,-120.707,-3.068633042719619e-06,-5.852040500568875e-07,K1V,V,7.568999767303467,6.015610671483083,0.8569998741149902,0.8126654023002566,0.7988016124338985,5114.572860875839,Main sequence,17.53487474062361,,69793,118959,0.099719,4217964.8068055175,0.5359905734626768,1.5314016384647908,1.0656003067650834,0.6061798152256463,,,,3642413746280598784,J14193488-0509041,4982-1062-1,J14196-0509A,J14196-0509A,,203230367,36962,3255,5266,,26146,12176,,-9.766,7.568999767303467,8.425999641418457,6.089000225067139,5.64300012588501,5.540999889373779,V,B-V,0.40715121150913985
69451,69673,124897,5340,541,* alf Boo,Arcturus,Arcturus,213.915300294925,19.1824091615312,3.7335263105388385,0.33479619833344426,11.257458065968704,-8.823449936636822,-5.932533072273561,3.698938316475139,-61656.65086098337,28856.679047091646,-100810.01700328322,-1093.39,-2000.06,-5.300904307883555e-06,-9.696564510399384e-06,K1.5IIIFe-0.5,,-0.05000000074505806,-0.3072016902002499,1.2299999482929707,21.63582007888774,3.425470005247373,4250.69369488885,Bright giant,0.4604681303624468,,69451,,0.0,2322017.4040301703,9.856429595753525,28.161227416438646,19.595520743938557,11.147152519006964,alf,,Boo,,J14153968+1910558,1472-1436-1,J14157+1911A,J14157+1911A,,459832522,36756,3242.00,526,14133+1925,8341,12132,,-5.229,-0.05000000074505806,1.1799999475479126,-2.252000093460083,-2.809999942779541,-2.9110000133514404,V,B-V,137.683112777843
119221,5336,6582,321,53 B,* mu. Cas B,Beta Andraste,,17.06792893936375,54.920155889239716,0.29789155648832105,0.9585375459757872,7.675298051011567,4.216850073329354,1.294689162659354,6.281095095842492,7451.025578502706,134292.13126178167,-32801.12825022409,3468.251,-1564.844,1.6814555343218292e-05,-7.586577800021707e-06,M4V,V,9.8,11.6,1.554,0.29,0.173,3025.0,Main sequence,803.3129019251312,B,5325,5325,0.000275,1583143.863484079,0.08,0.17,0.1,0.15,mu,,Cas,411413822074322432,J01081597+5455148,3673-1929-1,J01080+5455A,J01083+5455A,,252191219,3721,219,1030,01051+5439,646,1137,119221,-96.488899,5.170000076293945,5.860000133514404,4.03000020980835,3.5999999046325684,3.5,V,B-V,0.0062
5325,5336,6582,321,53 A,* mu. Cas A,Alpha Andraste,,17.06792893936375,54.920155889239716,0.29789155648832105,0.9585375459757872,7.675298051011567,4.216850073329354,1.294689162659354,6.281095095842492,7451.025578502706,134292.13126178167,-32801.12825022409,3468.251,-1564.844,1.6814555343218292e-05,-7.586577800021707e-06,G5Vb,Vb,5.17,5.78,0.695,0.789,0.744,5306.0,Main sequence,20.94438734608807,A,5325,119221,0.000275,1583143.863484079,0.95,2.36,0.96,1.66,mu,,Cas,411413822074322432,J01081597+5455148,3673-1929-1,J01080+5455A,J01083+5455A,,252191219,3721,219,1030,01051+5439,646,1137,,-97.09,5.170000076293945,5.860000133514404,4.03000020980835,3.5999999046325684,3.5,V,B-V,0.445
68463,68682,122742,5273,538,HD 122742,Moloch,,210.88475380256915,10.78676163565139,3.6806332961124637,0.1882645061699257,15.117866445744244,-12.744929115005789,-7.623077326072205,2.829374454815287,-308.91006551109234,-7554.0885961112035,-21789.600928881027,88.248,-309.491,4.278383773055433e-07,-1.5004547098027139e-06,G6V,V,6.26800012588501,5.370547603994586,0.7579998970031738,0.8913549790804797,0.8850040122150431,5410.6097978740045,Main sequence,13.571782810276874,,68463,,0.0,3118283.789565346,0.6579149653748483,1.879757043928138,1.3079976097333292,0.744070496554888,,,,3724242219117947904,J14033235+1047121,904-1278-1,,J14035+1047AB,,457880598,36119,3201.00,,14010+1101,8257,12022,,-8.5,6.26800012588501,7.026000022888184,5.389999866485596,4.764999866485596,4.459000110626221,V,B-V,0.6134525250342798
67711,67927,121370,5235,534 B,* eta Boo,Muphrid,Muphrid,208.67116216800866,18.397720717229475,3.64199883379478,0.321100801378027,11.396011396011396,-9.487671925377695,-5.188143735322999,3.596709851524057,-6914.5037437549145,-28.249531165312597,-18262.061926547547,-60.95,-356.29,-2.954939386362622e-07,-1.7273426644251658e-06,G0IV,IV,2.680000066757202,2.3962356924465116,0.5699999332427979,2.770261831096997,1.7554013610683104,6087.54723457096,,2.4493955422138742,,67711,,0.0,2350596.07977208,2.58840450829,7.395441452257144,5.145994677195596,2.9273622415184524,eta,,Boo,1244946371540223872,J13544106+1823514,1470-1157-1,J13547+1824A,J13547+1824A,,367758676,35643,3175.00,513,13522+1838,8204,11935,,5.77111,2.680000066757202,3.25,1.6699999570846558,1.534000039100647,1.4850000143051147,V,B-V,9.495235116972786
67063,67275,120136,5185,527 A,* tau Boo,Shoza,,206.8155757166775,17.456891543222227,3.609612740663654,0.3046802345927819,15.61353381110747,-13.292722097941413,-6.719173368008426,4.683875163595047,-14385.930639569826,31617.865014227908,4476.518430892145,-468.923,63.469,-2.273402857869269e-06,3.0770639526341136e-07,F7IV-V,IV,4.489999771118164,3.5224937308301074,0.49000024795532227,1.4760869371929997,1.354411482238632,6434.591499248499,Subgiant,4.68407060447532,,67063,,0.0,3220522.522522523,1.5409215891046721,4.402633111727635,3.063498873577146,1.7427089400588553,tau,,Boo,1244571953471006720,J13471581+1727249,1460-132-1,J13473+1727A,J13473+1727A,9025 A,72506701,35234,3144,507,13448+1742,8140,11837,,-16.03,4.489999771118164,4.980000019073486,3.619999885559082,3.549999952316284,3.359999895095825,V,B-V,3.3651351243889858
65515,65721,117176,5072,9446,*  70 Vir,Bara,,202.10753579536706,13.778788419113054,3.5274419427214516,0.24048522484918716,18.099187165504397,-16.2859636539162,-6.615539393032731,4.310754279069007,-18527.96205340562,14324.501150115146,-47994.06273777354,-235.951,-575.969,-1.1439227287147612e-06,-2.7923765109497834e-06,G4Va,,4.96999979019165,3.6817044344818752,0.7100000381469727,1.8321272824286128,1.3056583681743499,5567.728608655219,Main sequence,5.1336482557027825,,65515,,0.0,3733225.3294504546,1.431984770482313,4.091385058520894,2.846922103220789,1.6195065856645205,,70,Vir,3740176925743650688,J13282584+1346447,898-1042-1,J13285+1346A,J13284+1347A,,95473936,34214,3076.00,1349,13259+1402,7991,11632,,5.017,4.96999979019165,5.679999828338623,3.799999952316284,3.4570000171661377,3.240000009536743,V,B-V,2.9061513363000038
64720,64924,115617,5019,506,*  61 Vir,Volii,,199.60130827686294,-18.311193819050562,3.4837000207194677,-0.31959062211326705,8.534418456191977,-7.632742365305195,-2.718093684727821,-2.6813259949711856,-1779.3976189287384,45327.10282464948,-40858.46154456271,-1070.202,-1063.849,-5.188485711507876e-06,-5.1576854983469865e-06,G6.5V,V,4.739999771118164,5.084130105124801,0.7000002861022949,0.9488278354861707,0.9453377252838199,5601.696866011756,Main sequence,11.508865808265554,,64720,,0.0,1760350.1671892577,0.750677268469621,2.1447921956274887,1.4924179027907942,0.8489802441025476,,61,Vir,3507879565090229888,J13182443-1818387,6116-1517-1,J13185-1818A,J13184-1819A,,422478973,33614,3039.00,1345,13157-1802,7907,11474,,-7.824,4.739999771118164,5.440000057220459,3.3340001106262207,2.9739999771118164,2.9560000896453857,V,B-V,0.7986342990320459
64587,64792,115383,5011,504,* e Vir,Rutherford,,199.19381191438,9.424155594346109,3.4765878675042403,0.16448254434158271,17.58776735604852,-16.385913614022996,-5.704194586944781,2.879854114105706,-6707.284194560696,27281.21440985027,15708.263215482011,-335.473,191.038,-1.6264190004285935e-06,9.261783601180353e-07,G0IV,IV,5.809999942779541,4.583946381219674,0.35699987411499023,2.072838193726698,1.0854388502479901,4351.600151062012,,8.146791381936943,,64587,,0.0,3627737.421668481,0.98966909800725,2.8276259943064286,1.9675564210382233,1.1192686227462947,e,,Vir,3732539683617410816,J13164653+0925269,891-624-1,J13168+0925A,J13168+0925A,,397587084,33523,3034.00,,13142+0941,7894,11451,,-27.0,,5.809999942779541,4.389999866485596,4.10699987411499,4.0329999923706055,B,J-K,1.3881022159162189
