id,mod,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,radius,mass,comp,compdist,AU dist,Temp,type,Outer OHZ,Inner OHZ,Outer CHZ,Inner CHZ,Special,Luminosity Class,System Location ID
65515,,65721,117176,5072,Gl 512.1,70    Vir,Nara,13.473837,13.778787,17.9856,-234.809998,-576.190002,5.3,4.97,3.695,G5,0.714,-16.183798,-6.57404,4.283711,-0.00002367,0.00001248,-0.0000475,3.527442,0.240485,-1.14E-06,-2.79E-06,,70,Vir,1,65515,,2.897344,,0,0,0.93,0.93,0,0,0,5575,,3.06,1.29,2.9,1.64,,,
67063,,67275,120136,5185,Gl 527A,4Tau Boo,Shoza,13.78771,17.456905,15.6177,-480.329987,54.18,-16.1,4.5,3.532,F7,0.508,-13.296143,-6.720908,4.685085,-0.00000129,0.0000401,-0.00000103,3.609614,0.30468,-2.33E-06,2.63E-07,Tau,4,Boo,1,67063,Gl 527,3.366666,,0,0,1.14,1.22,0,0,0,6360,subgiant,3.01,1.33,2.93,1.68,Month long day,II,
67711,,67927,121370,5235,Gl 534,8Eta Boo,Muphrid,13.911411,18.397717,11.396,-60.950001,-358.100006,1,2.68,2.396,G0,0.58,-9.487671,-5.188142,3.596709,-0.00000795,-0.00000051,-0.00001845,3.641999,0.321101,-2.95E-07,-1.74E-06,Eta,8,Boo,1,67711,,9.585174,,0,0,1.05,1.1,0,0,0,6100,subgiant,5.32,2.28,5.05,2.89,Fast rotation/short day,VI-b,
68415,,68634,122676,0,NN 3824,,Pyraas,14.049129,14.975343,26.8312,-58.169998,3.23,0,7.12,4.977,G5,0.74,-22.27878,-13.247604,6.933272,-0.00000377,0.00000656,0.00000041,3.678053,0.261369,-2.82E-07,1.57E-08,,0,Boo,1,68415,,0.889611,,0,0,0.93,0.93,0,0,0,5575,,1.68,0.71,1.6,0.9,Ice cap only at south pole,,
68463,,68682,122742,5273,Gl 538,,Moloch,14.058986,10.786779,16.9837,85.260002,-304.040009,-11.6,6.27,5.12,G8,0.733,-14.317802,-8.563868,3.178559,0.00000958,-0.00000245,-0.00002681,3.680634,0.188265,4.13E-07,-1.47E-06,,0,Boo,1,68463,,0.77983,,0,0,0.882,0.84,0,0,0,5320,,1.62,0.68,1.54,0.86,Constant rain,III,
69192,,69414,124292,0,NN 3830,,Bel,14.212567,-3.320084,22.050699,-160.710007,-322.140015,31.299999,7.05,5.333,G0,0.733,-18.422924,-12.050342,-1.27706,-0.00003448,-0.00000203,-0.00003623,3.720841,-0.057946,-7.79E-07,-1.56E-06,,0,Vir,1,69192,,0.640914,,0,0,1.05,1.1,0,0,0,6000,,1.39,0.59,1.32,0.75,Gas giant orbiting gas giant,IV-e,
69451,,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,19.182409,11.2575,-1093.449951,-1999.400024,-5,-0.05,-0.307,K2,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.733529,0.334796,-5.30E-06,-9.69E-06,Alp,16,Boo,1,69451,,115.557999,,0,0,27,0.744,0,0,0,4280,giant,21.59,8.66,20.5,10.97,Asteroid belt close sun,,
69479,,69701,124850,5338,Wo 9473,99Iot Vir,Haldeman,14.266908,-6.000547,22.237,-25.84,-419.839996,14.6,4.07,2.335,F7,0.511,-18.333626,-12.367873,-2.324624,-0.00000995,-0.00000335,-0.00004657,3.735068,-0.104729,-1.25E-07,-2.04E-06,Iot,99,Vir,1,69479,,10.139113,,0,0,1.14,1.22,0,0,0,6345,,5.37,2.31,5.09,2.92,,,
69766,,69989,125451,5365,NN 3841,18    Boo,Rana,14.321188,13.004299,26.096001,105.910004,-32.220001,-3,5.41,3.327,F5,0.385,-20.874592,-14.517858,5.872224,0.00000935,-0.00000982,-0.00000466,3.749278,0.226968,5.13E-07,-1.56E-07,,18,Boo,1,69766,,4.066306,,0,0,1.2,1.3,0,0,0,6675,,3.32,1.44,3.15,1.82,,,
69793,,70016,125455,0,Gl 544A,,Bannoc Prime,14.326352,-5.151195,20.881201,-631.73999,-122.110001,-9.1,7.58,5.981,K1,0.867,-17.057505,-11.897385,-1.874795,-0.00002807,0.00005839,-0.00001148,3.75063,-0.089905,-3.06E-06,-5.92E-07,,0,Vir,1,69793,Gl 544,0.352858,,0,0,0.828,0.762,118959,0.099719,20568.44727,5035,,1.12,0.47,1.06,0.59,Giant sunspots,,
