id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ
119217,,,,4056,G  21-13,Nikola,,276.0216,1.6878,4.81748602,0.029458,17.3608,1.8204,-17.2575,0.5113,,,,150.438,-238.457,7.3e-07,-1.16e-06,M2.5V,V,11.86,10.662,1.54,0.272,0.34,3734.317364481237,Main sequence,151.5438741592521,1,119217,,,3580917.8296942245,0.0954659673440444,0.2727599066972697,0.1897954350768501,0.1079674630676692,,,,4276632394156013568,J18240518+0141161,,,J18241+0141A,,169296613,46418,,,,,,,,11.859999656677246,13.399999618530272,8.29699993133545,7.736999988555908,7.486999988555908,V,B-V,0.0129,Nikola,1,,,G5 <-> M2,11.13 <-> 10.66,0.93 <-> 0.34,0.93 <-> 0.27,5575 <-> 3734,13.89 <-> 17.36,0.04 <-> 0.10,0.10 <-> 0.27
119105,,,,3969,G  17-33,Decaran,,250.4406,-5.8228,4.37101226,-0.10162705,32.8825,-10.9518,-30.8251,-3.336,5534.49276811,2170.34858978,-38573.52804915,28.795,-248.719,1.4e-07,-1.21e-06,M0V,V,12.23,9.645,0.73,0.2,0.43,5501.091332165992,,84.39051114344886,1,119105,,,6782505.384511679,0.1524910631104211,0.4356887517440603,0.3031667564219086,0.1724601308986905,,,,4353154417711322112,J16414572-0549220,5061-450-1,,,,58410794,43374,,,,,,,35.51,12.229999542236328,12.960000038146973,9.020999908447266,8.430999755859375,8.204999923706055,V,B-V,0.033,Decaran,1,,,G9 <-> M0,10.23 <-> 9.64,0.81 <-> 0.43,0.87 <-> 0.20,5235 <-> 5501,23.26 <-> 32.88,0.07 <-> 0.15,0.16 <-> 0.44
72407,72634,131023,,3868,HD 131023,Strix,,222.7596,9.7237,3.88788922,0.16971005,30.0375,-21.737,-20.1002,5.0732,-19879.38881446,23546.41038294,7900.99893457,-216.196,56.34,-1.05e-06,2.7e-07,K0V,V,5.821,3.433,0.46,3.731,1.41,4227.999954223633,,4.199233170516653,1,72407,,,6195682.587551853,1.681679746680256,4.804799276229303,3.343339496376223,1.9018997135074325,,,,1174143182830505984,J14510231+0943252,918-132-1,J14510+0943A,J14510+0943A,9410 A,349674635,38552,,,,8629,12487,,-36.19,,,6.281000137329102,5.915999889373779,5.821000099182129,K,J-K,4.008,Strix,1,,,,5.05 <-> 3.43,0.78 <-> 1.41,0.85 <-> 3.73,5200 <-> 4228,29.44 <-> 30.04,0.71 <-> 1.68,1.69 <-> 4.80
69766,69989,125451,5365,3841,*  18 Boo,Rana,,214.8178,13.0043,3.74927846,0.22696787,26.1053,-20.8821,-14.523,5.8743,6721.38654832,-11186.93949956,-3769.52435307,105.226,-31.26,5.1e-07,-1.5e-07,F3V,V,5.396,3.312,0.392,1.405,1.42,6923.129265145771,Main sequence,4.150392324510625,1,69766,,,5384604.295887894,1.6974928945496592,4.849979698713312,3.37477754035468,1.919783630740686,,18.0,Boo,1226844321337777664,J14191627+1300155,915-1442-1,J14192+1300A,J14193+1300A,,86433449,,3255.01,1372,14168+1314,8373,12171,,-1.2,5.395999908447266,5.788000106811523,4.738999843597412,4.538000106811523,4.394000053405762,V,B-V,4.0837,Rana,1,18.0 Boo,,F5 <-> F3,3.33 <-> 3.31,1.3 <-> 1.42,1.20 <-> 1.41,6675 <-> 6923,26.10 <-> 26.11,1.44 <-> 1.70,3.32 <-> 4.85
69192,69414,124292,,3830,HD 124292,Bel,,213.1885,-3.3201,3.72084113,-0.0579464,21.7887,-18.2038,-11.907,-1.2619,-7606.53695025,15080.40598584,-33219.51550038,-162.498,-322.138,-7.9e-07,-1.56e-06,G8/K0V,V,7.039,5.348,0.744,0.886,0.89,5455.451253111298,,13.395578005024134,1,69192,,,4494237.025932882,0.6648292521064115,1.8995121488754612,1.3217438702591753,0.7518902255965368,,,,3646061719703115776,J14124525-0319120,4979-117-1,,,,147718994,36571,,,,,,,37.819,7.039000034332275,7.782999992370605,5.736999988555908,5.375999927520752,5.303999900817871,V,B-V,0.6264,Bel,1,,,G0 <-> G8,5.33 <-> 5.35,1.1 <-> 0.89,1.05 <-> 0.89,6000 <-> 5455,22.05 <-> 21.79,0.59 <-> 0.66,1.39 <-> 1.90
68415,68634,122676,,3824,HD 122676,Pyraas,,210.7369,14.9753,3.67805343,0.26136909,26.6456,-22.1246,-13.1559,6.8853,-3608.16654795,6273.32464084,358.16517679,-57.288,2.954,-2.8e-07,1e-08,G7V,V,7.14,5.012,0.72,1.005,0.96,5534.195806821752,Main sequence,11.039993880108184,1,68415,,,5496041.961433212,0.7760759406240254,2.2173598303543582,1.5429128819549076,0.8777049328486002,,,,1231250992143084800,J14025689+1458314,907-128-1,,,,72601126,,,,,,,,-8.86,7.139999866485596,7.860000133514404,5.7179999351501465,5.353000164031982,5.252999782562256,V,B-V,0.8536,Pyraas,1,,,G5 <-> G7,4.98 <-> 5.01,0.93 <-> 0.96,0.93 <-> 1.00,5575 <-> 5534,26.83 <-> 26.65,0.71 <-> 0.78,1.68 <-> 2.22
65150,65355,116443,,3782,HD 116443,Khayyam,,200.9202,2.7253,3.50671882,0.04756501,16.5793,-15.4689,-5.9132,0.7883,836.05829928,-157.22654913,15804.9688289,5.667,201.308,3e-08,9.8e-07,K2V,V,8.18,7.082,0.537,0.796,0.64,4135.599784851074,Main sequence,30.587335168543,1,65150,,,3419730.4865533416,0.3434361227192838,0.9812460649122394,0.6827837201681,0.3884099006944281,,,,3712538811193759744,J13234086+0243309,303-1282-1,J13237+0243B,J13237+0243B,8883 B,393713801,33956,,,,64078,,,27.496,,8.180000305175781,5.76800012588501,5.355999946594238,5.230999946594238,B,J-K,0.1672,Khayyam,1,,,G4 <-> K2,6.31 <-> 7.08,0.95 <-> 0.64,0.95 <-> 0.80,5660 <-> 4136,16.14 <-> 16.58,0.39 <-> 0.34,0.91 <-> 0.98
65147,65352,116442,,3781,HD 116442,Al-Battani,,200.9131,2.7233,3.50659581,0.04753102,16.5888,-15.4785,-5.9147,0.7882,1018.93702696,-660.16587024,15655.6242487,12.467,199.291,6e-08,9.7e-07,G9V,V,7.83,6.731,0.512,0.842,0.66,4165.599899291992,Main sequence,28.037019589680654,1,65147,,,3421681.969818369,0.368208500114653,1.052024286041866,0.7320335657041317,0.4164262798915719,,,,3712538708114516992,J13233916+0243239,303-1283-1,J13237+0243A,J13237+0243A,8883 A,393713800,33954,,,,64077,,,28.492,,7.829999923706055,5.609000205993652,5.21999979019165,5.0970001220703125,B,J-K,0.1921,Al-Battani,1,,,G5 <-> G9,6.12 <-> 6.73,0.93 <-> 0.66,0.93 <-> 0.84,5575 <-> 4166,15.45 <-> 16.59,0.42 <-> 0.37,1.00 <-> 1.05
118819,,,,3728,Ross  948B,Rivera,,187.2206,-10.6641,3.26761643,-0.18612393,19.4155,-18.9288,-2.3982,-3.5929,-3215.56099225,25608.63299328,-117.94055129,-280.423,-1.317,-1.36e-06,-1e-08,M2V,V,10.96,9.519,1.45,0.428,0.44,3870.29593862394,Main sequence,78.4901051595428,1,118819,,,4004729.726843646,0.1615947910387196,0.4616994029677703,0.3212658345650735,0.1827560136747424,,,,3578493908382798336,J12285297-1039508,,,J12288-1040B,,98751018,30868,,,,,,,-6.38,10.960000038146973,12.40999984741211,7.651999950408935,7.190000057220459,6.789999961853027,V,B-V,0.037,Rivera,1,,,G5 <-> M2,10.60 <-> 9.52,0.93 <-> 0.44,0.93 <-> 0.43,5575 <-> 3870,12.05 <-> 19.42,0.05 <-> 0.16,0.13 <-> 0.46
118818,,,,3727,Ross  948A,Bolivar,,187.2215,-10.6635,3.26763128,-0.1861134,19.4395,-18.9523,-2.4014,-3.5971,-3297.89779785,25556.01182424,342.74522016,-279.622,3.774,-1.36e-06,2e-08,M2V,V,11.57,10.127,1.65,0.378,0.38,3581.0020264761256,Main sequence,111.33789569669918,1,118818,,,4009688.7732885447,0.1221700858357097,0.3490573881020278,0.242885765887661,0.1381685494570527,,,,3578493912677730304,J12285316-1039488,,,J12288-1040A,,98751019,30870,,,,,,,-5.23,11.56999969482422,13.220000267028809,7.679999828338623,7.179999828338623,6.85699987411499,V,B-V,0.0212,Bolivar,1,,,M3 <-> M2,10.55 <-> 10.13,0.31 <-> 0.38,0.44 <-> 0.38,3280 <-> 3581,12.05 <-> 19.44,0.06 <-> 0.12,0.16 <-> 0.35
